"CODIGO","DESCRIPCION"
"A00-B99","Ciertas enfermedades infecciosas y parasitarias,0"
"C00-D49","Tumores [neoplasias],0"
"D50-D89","""Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad"",0"
"E00-E89","""Enfermedades endocrinas, nutricionales y metabolicas"",0"
"F01-F99","Trastornos mentales y del comportamiento,0"
"G00-G99","Enfermedades del sistema nervioso,0"
"H00-H59","Enfermedades del ojo y sus anexos,0"
"H60-H95","Enfermedades del oído y de la apófisis mastoides,0"
"I00-I99","Enfermedades del sistema circulatorio,0"
"J00-J99","Enfermedades del sistema respiratorio,0"
"K00-K95","Enfermedades del sistema digestivo,0"
"L00-L99","Enfermedades de la piel y del tejido subcutáneo,0"
"M00-M99","Enfermedades del sistema osteomuscular y del tejido conjuntivo,0"
"N00-N99","Enfermedades del sistema genitourinario,0"
"O00-O9A","""Embarazo, parto y puerperio"",0"
"P00-P96","Ciertas afecciones originadas en el período perinatal,0"
"Q00-Q99","""Malformaciones congénitas, deformidades y anomalías cromosómicas"",0"
"R00-R99",""" Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte"",0"
"S00-T88","""Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"",0"
"V01-Y99","Causas externas de morbilidad y de mortalidad,0"
"Z00-Z99","Factores que influyen en el estado de salud y contacto con los servicios de salud,0"
"H60-H62","H60-H95,,,,,Enfermedades del oído externo,1"
"H65-H75","H60-H95,,,,,Enfermedades del oído medio y de la mastoides,1"
"H80-H83","H60-H95,,,,,Enfermedades del oído interno,1"
"H90-H95","H60-H95,,,,,Otros trastornos del oído,1"
"H00-H06","H00-H59,,,,,""Trastornos del párpado, aparato lagrimal y órbita"",1"
"H10-H13","H00-H59,,,,,Trastornos de la conjuntiva,1"
"H15-H22","H00-H59,,,,,""Trastornos de la esclerótica, córnea, iris y cuerpo ciliar"",1"
"G00-G09","G00-G99,,,,,Enfermedades inflamatorias del sistema nervioso central,1"
"G10-G13","G00-G99,,,,,Atrofias sistémicas que afectan principalmente el sistema nervioso central,1"
"G20-G26","G00-G99,,,,,Trastornos extrapiramidales y del movimiento,1"
"H25-H28","H00-H59,,,,,Trastornos del cristalino,1"
"H30-H36","H00-H59,,,,,Trastornos de la coroides y de la retina,1"
"H40-H42","H00-H59,,,,,Glaucoma,1"
"H43-H45","H00-H59,,,,,Trastornos del cuerpo vítreo y del globo ocular,1"
"H46-H48","H00-H59,,,,,Trastornos del nervio óptico y de las vías ópticas,1"
"H49-H52","H00-H59,,,,,""binocular, de la acomodación y de la refracción"",1"
"H53-H54","H00-H59,,,,,Alteraciones de la visión y ceguera,1"
"F00-F09","F01-F99,,,,,""Trastornos mentales orgánicos, incluidos los trastornos sintomáticos"",1"
"F10-F19","F01-F99,,,,,Trastornos mentales y del comportamiento debidos al uso de sustancias psicoactivas,1"
"F20-F29","F01-F99,,,,,""Esquizofrenia, trastornos esquizotípicos y trastornos delirantes"",1"
"F30-F39","F01-F99,,,,,Trastornos del humor [afectivos],1"
"F40-F48","F01-F99,,,,,""Trastornos neuróticos, trastornos relacionados con el estrés y trastornos somatomorfos"",1"
"E00-E07","E00-E89,,,,,Trastornos de la glándula tiroides,1"
"E10-E14","E00-E89,,,,,Diabetes mellitus,1"
"E15-E16","E00-E89,,,,,Otros trastornos de la regulación de la glucosa y de la secreción interna del páncreas,1"
"E20-E35","E00-E89,,,,,Trastornos de otras glándulas endocrinas,1"
"D50-D53","D50-D89,,,,,Anemias nutricionales,1"
"D55-D59","D50-D89,,,,,Anemias hemolíticas,1"
"D60-D64","D50-D89,,,,,Anemias aplásticas y otras anemias,1"
"D65-D69","D50-D89,,,,,""Defectos de la coagulación, púrpura y otras afecciones hemorrágicas"",1"
"D70-D77","D50-D89,,,,,Otras enfermedades de la sangre y de los órganos hematopoyéticos,1"
"C00-C97","C00-D49,,,,,Tumores [neoplasias] malignos,1"
"D00-D09","C00-D49,,,,,Tumores [neoplasias] in situ,1"
"D10-D36","C00-D49,,,,,Tumores [neoplasias] benignos,1"
"D37-D48","C00-D49,,,,,Tumores [neoplasias] de comportamiento incierto o desconocido,1"
"G30-G32","G00-G99,,,,,Otras enfermedades degenerativas del sistema nervioso,1"
"G35-G37","G00-G99,,,,,Enfermedades desmielinizantes del sistema nervioso central,1"
"G40-G47","G00-G99,,,,,Trastornos episódicos y paroxísticos,1"
"G50-G59","G00-G99,,,,,""Trastornos de los nervios, de las raíces y de los plexos nerviosos"",1"
"G60-G64","G00-G99,,,,,Polineuropatías y otros trastornos del sistema nervioso periférico,1"
"G70-G73","G00-G99,,,,,Enfermedades musculares y de la unión neuromuscular,1"
"G80-G83","G00-G99,,,,,Parálisis cerebral y otros síndromes paralíticos,1"
"G90-G99","G00-G99,,,,,Otros trastornos del sistema nervioso,1"
"A00-A09","A00-B99,,,,,Enfermedades infecciosas intestinales,1"
"A15-A19","A00-B99,,,,,Tuberculosis,1"
"H55-H59","H00-H59,,,,,Otros trastornos del ojo y sus anexos,1"
"F50-F59","F01-F99,,,,,Síndromes del comportamiento asociados con alteraciones fisiológicas y factores físicos,1"
"F60-F69","F01-F99,,,,,Trastornos de la personalidad y del comportamiento en adultos,1"
"F70-F79","F01-F99,,,,,Retraso mental,1"
"F80-F89","F01-F99,,,,,Trastornos del desarrollo psicológico,1"
"F90-F98","F01-F99,,,,,Trastornos emocionales y del comportamiento que aparecen habitualmente en la niñez y en la adolescencia,1"
"F99","F01-F99,,,,,""Trastorno mental, no especificado"",1"
"S00-S09","S00-T88,,,,,Traumatismos de la cabeza,1"
"S10-S19","S00-T88,,,,,Traumatismos del cuello,1"
"S20-S29","S00-T88,,,,,Traumatismos del tórax,1"
"S30-S39","S00-T88,,,,,""Traumatismos del abdomen, de la región lumbosacra, de la columna lumbar y de la pelvis"",1"
"R00-R09","R00-R99,,,,,Síntomas y signos que involucran los sistemas circulatorio y respiratorio,1"
"R10-R19","R00-R99,,,,,Síntomas y signos que involucran el sistema digestivo y el abdomen,1"
"R20-R23","R00-R99,,,,,Síntomas y signos que involucran la piel y el tejido subcutáneo,1"
"R25-R29","R00-R99,,,,,Síntomas y signos que involucran los sistemas nervioso y osteomuscular,1"
"R30-R39","R00-R99,,,,,Síntomas y signos que involucran el sistema urinario,1"
"R40-R46","R00-R99,,,,,""Síntomas y signos que involucran el conocimiento, la percepción, el estado emocional y la conducta"",1"
"R47-R49","R00-R99,,,,,Síntomas y signos que involucran el habla y la voz,1"
"Q00-Q07","Q00-Q99,,,,,Malformaciones congénitas del sistema nervioso,1"
"Q10-Q18","Q00-Q99,,,,,""Malformaciones congénitas del ojo, del oído, de la cara y del cuello"",1"
"Q20-Q28","Q00-Q99,,,,,Malformaciones congénitas del sistema circulatorio,1"
"Q30-Q34","Q00-Q99,,,,,Malformaciones congénitas del sistema respiratorio,1"
"E40-E46","E00-E89,,,,,Desnutrición,1"
"E50-E64","E00-E89,,,,,Otras deficiencias nutricionales,1"
"E65-E68","E00-E89,,,,,Obesidad y otros tipos de hiperalimentación,1"
"E70-E90","E00-E89,,,,,Trastornos metabólicos,1"
"P00-P04","P00-P96,,,,,""Feto y recién nacido afectados por factores maternos y por complicaciones del embarazo, del trabajo de parto y del parto"",1"
"P05-P08","P00-P96,,,,,Trastornos relacionados con la duración de la gestación y el crecimiento fetal,1"
"P10-P15","P00-P96,,,,,Traumatismo del nacimiento,1"
"P20-P29","P00-P96,,,,,Trastornos respiratorios y cardiovasculares específicos del período perinatal,1"
"P35-P39","P00-P96,,,,,Infecciones específicas del período perinatal,1"
"P50-P61","P00-P96,,,,,Trastornos hemorrágicos y hematológicos del feto y del recién nacido,1"
"P70-P74","P00-P96,,,,,Trastornos endocrinos y metabólicos transitorios específicos del feto y del recién nacido,1"
"D80-D89","D50-D89,,,,,Ciertos trastornos que afectan el mecanismo de la inmunidad,1"
"O00-O08","O00-O9A,,,,,Embarazo terminado en aborto,1"
"O10-O16","O00-O9A,,,,,""Edema, proteinuria y trastornos hipertensivos en el embarazo, el parto y el puerperio"",1"
"O20-O29","O00-O9A,,,,,Otros trastornos maternos relacionados principalmente con el embarazo,1"
"O30-O48","O00-O9A,,,,,Atención materna relacionada con el feto y la cavidad amniótica y con posibles problemas del parto,1"
"N00-N08","N00-N99,,,,,Enfermedades glomerulares,1"
"N10-N16","N00-N99,,,,,Enfermedad renal tubulointersticial,1"
"N17-N19","N00-N99,,,,,Insuficiencia renal,1"
"N20-N23","N00-N99,,,,,Litiasis urinaria,1"
"N25-N29","N00-N99,,,,,Otros trastornos del riñón y del uréter,1"
"A20-A28","A00-B99,,,,,Ciertas zoonosis bacterianas,1"
"A30-A49","A00-B99,,,,,Otras enfermedades bacterianas,1"
"A50-A64","A00-B99,,,,,predominantemente sexual,1"
"A65-A69","A00-B99,,,,,Otras enfermedades debidas a espiroquetas,1"
"A70-A74","A00-B99,,,,,Otras enfermedades causadas por clamidias,1"
"A75-A79","A00-B99,,,,,Rickettsiosis,1"
"A80-A89","A00-B99,,,,,Infecciones virales del sistema nervioso central,1"
"A90-A99","A00-B99,,,,,Fiebres virales transmitidas por artrópodos y fiebres virales hemorrágicas,1"
"B00-B09","A00-B99,,,,,Infecciones virales caracterizadas por lesiones de la piel y de las membranas mucosas,1"
"M00-M25","M00-M99,,,,,Artropatías,1"
"M30-M36","M00-M99,,,,,Trastornos sistémicos del tejido conjuntivo,1"
"M40-M54","M00-M99,,,,,Dorsopatías,1"
"M60-M79","M00-M99,,,,,Trastornos de los tejidos blandos,1"
"M80-M94","M00-M99,,,,,Osteopatías y condropatías,1"
"L00-L08","L00-L99,,,,,Infecciones de la piel y del tejido subcutáneo,1"
"L10-L14","L00-L99,,,,,Trastornos flictenulares,1"
"L20-L30","L00-L99,,,,,Dermatitis y eczema,1"
"L40-L45","L00-L99,,,,,Trastornos papuloescamosos,1"
"L50-L54","L00-L99,,,,,Urticaria y eritema,1"
"K00-K14","K00-K95,,,,,""Enfermedades de la cavidad bucal, de las glándulas salivales y de los maxilares"",1"
"K20-K31","K00-K95,,,,,""Enfermedades del esófago, del estómago y del duodeno"",1"
"K35-K38","K00-K95,,,,,Enfermedades del apéndice,1"
"K40-K46","K00-K95,,,,,Hernia,1"
"K50-K52","K00-K95,,,,,Enteritis y colitis no infecciosas,1"
"K55-K63","K00-K95,,,,,Otras enfermedades de los intestinos,1"
"J00-J06","J00-J99,,,,,Infecciones agudas de las vías respiratorias superiores,1"
"J09-J18","J00-J99,,,,,Influenza [gripe] y neumonía ,1"
"J20-J22","J00-J99,,,,,Otras infecciones agudas de las vías respiratorias inferiores,1"
"J30-J39","J00-J99,,,,,Otras enfermedades de las vías respiratorias superiores,1"
"I00-I02","I00-I99,,,,,Fiebre reumática aguda,1"
"I05-I09","I00-I99,,,,,Enfermedades cardíacas reumáticas crónicas,1"
"I10-I15","I00-I99,,,,,Enfermedades hipertensivas,1"
"I20-I25","I00-I99,,,,,Enfermedades isquémicas del corazón,1"
"S40-S49","S00-T88,,,,,Traumatismos del hombro y del brazo,1"
"S50-S59","S00-T88,,,,,Traumatismos del antebrazo y del codo,1"
"S60-S69","S00-T88,,,,,Traumatismos de la muñeca y de la mano,1"
"S70-S79","S00-T88,,,,,Traumatismos de la cadera y del muslo,1"
"S80-S89","S00-T88,,,,,Traumatismos de la rodilla y de la pierna,1"
"S90-S99","S00-T88,,,,,Traumatismos del tobillo y del pie,1"
"T00-T07","S00-T88,,,,,Traumatismos que afectan múltiples regiones del cuerpo,1"
"Z00-Z13","Z00-Z99,,,,,Personas en contacto con los servicios de salud para investigación y exámenes,1"
"Z20-Z29","Z00-Z99,,,,,""Personas con riesgos potenciales para su salud, relacionados con enfermedades transmisibles"",1"
"Z30-Z39","Z00-Z99,,,,,Personas en contacto con los servicios de salud en circunstancias relacionadas con la reproducción,1"
"V01-X59","V01-Y99,,,,,Accidentes,1"
"X60-X84","V01-Y99,,,,,Lesiones autoinfligidas intencionalmente,1"
"X85-Y09","V01-Y99,,,,,Agresiones,1"
"Y10-Y34","V01-Y99,,,,,Eventos de intención no determinada,1"
"Y35-Y36","V01-Y99,,,,,Intervención legal y operaciones de guerra,1"
"Y40-Y84","V01-Y99,,,,,Complicaciones de la atención médica y quirúrgica,1"
"H90","H60-H95,H90-H95,,,,Hipoacusia conductiva y neurosensorial,2"
"H91","H60-H95,H90-H95,,,,Otras hipoacusias,2"
"H92","H60-H95,H90-H95,,,,Otalgia y secreción del oído,2"
"H80","H60-H95,H80-H83,,,,Otosclerosis,2"
"H81","H60-H95,H80-H83,,,,Trastornos de la función vestibular,2"
"H82","H60-H95,H80-H83,,,,Síndromes vertiginosos en enfermedades clasificadas en otra parte,2"
"H83","H60-H95,H80-H83,,,,Otros trastornos del oído interno,2"
"H65","H60-H95,H65-H75,,,,Otitis media no supurativa,2"
"H66","H60-H95,H65-H75,,,,Otitis media supurativa y la no especificada,2"
"H67","H60-H95,H65-H75,,,,Otitis media en enfermedades clasificadas en otra parte,2"
"H60","H60-H95,H60-H62,,,,Otitis externa,2"
"H61","H60-H95,H60-H62,,,,Otros trastornos del oído externo,2"
"H62","H60-H95,H60-H62,,,,Trastornos del oído externo en enfermedades clasificadas en otra parte,2"
"H15","H00-H59,H15-H22,,,,Trastornos de la esclerótica,2"
"H16","H00-H59,H15-H22,,,,Queratitis,2"
"H17","H00-H59,H15-H22,,,,Opacidades y cicatrices corneales,2"
"H18","H00-H59,H15-H22,,,,Otros trastornos de la córnea,2"
"H19","H00-H59,H15-H22,,,,Trastornos de la esclerótica y de la córnea en enfermedades clasificadas en otra parte,2"
"H20","H00-H59,H15-H22,,,,Iridociclitis,2"
"H21","H00-H59,H15-H22,,,,Otros trastornos del iris y del cuerpo ciliar,2"
"H22","H00-H59,H15-H22,,,,Trastornos del iris y del cuerpo ciliar en enfermedades clasificadas en otra parte,2"
"R50-R69","R00-R99,,,,,Síntomas y signos generales,1"
"R70-R79","R00-R99,,,,,sin diagnóstico,1"
"R80-R82","R00-R99,,,,,""Hallazgos anormales en el examen de orina, sin diagnóstico"",1"
"R83-R89","R00-R99,,,,,""Hallazgos anormales en el examen de otros líquidos, sustancias y tejidos corporales, sin diagnóstico"",1"
"R90-R94","R00-R99,,,,,""Hallazgos anormales en diagnóstico por imágenes y en estudios funcionales, sin diagnóstico"",1"
"R95-R99","R00-R99,,,,,Causas de mortalidad mal definidas y desconocidas,1"
"H10","H00-H59,H10-H13,,,,Conjuntivitis,2"
"H11","H00-H59,H10-H13,,,,Otros trastornos de la conjuntiva,2"
"H13","H00-H59,H10-H13,,,,Trastornos de la conjuntiva en enfermedades clasificadas en otra parte,2"
"Q35-Q37","Q00-Q99,,,,,Fisura del paladar y labio leporino,1"
"Q38-Q45","Q00-Q99,,,,,Otras malformaciones congénitas del sistema digestivo,1"
"Q50-Q56","Q00-Q99,,,,,Malformaciones congénitas de los órganos genitales,1"
"Q60-Q64","Q00-Q99,,,,,Malformaciones congénitas del sistema urinario,1"
"Q65-Q79","Q00-Q99,,,,,Malformaciones y deformidades congénitas del sistema osteomuscular,1"
"Q80-Q89","Q00-Q99,,,,,Otras malformaciones congénitas,1"
"Q90-Q99","Q00-Q99,,,,,""Anomalías cromosómicas, no clasificadas en otra parte"",1"
"H00","H00-H59,H00-H06,,,,Orzuelo y calacio,2"
"H01","H00-H59,H00-H06,,,,Otras inflamaciones del párpado,2"
"H02","H00-H59,H00-H06,,,,Otros trastornos de los párpados,2"
"H03","H00-H59,H00-H06,,,,Trastornos del párpado en enfermedades clasificadas en otra parte,2"
"H04","H00-H59,H00-H06,,,,Trastornos del aparato lagrimal,2"
"H05","H00-H59,H00-H06,,,,Trastornos de la órbita,2"
"H06","H00-H59,H00-H06,,,,Trastornos del aparato lagrimal y de la órbita en enfermedades clasificadas en otra parte,2"
"P75-P78","P00-P96,,,,,Trastornos del sistema digestivo del feto y del recién nacido,1"
"P80-P83","P00-P96,,,,,Afecciones asociadas con la regulación tegumentaria y la temperatura del feto y del recién nacido,1"
"P90-P96","P00-P96,,,,,Otros trastornos originados en el período perinatal,1"
"O60-O75","O00-O9A,,,,,Complicaciones del trabajo de parto y del parto,1"
"O80-O84","O00-O9A,,,,,Parto,1"
"O85-O92","O00-O9A,,,,,Complicaciones principalmente relacionadas con el puerperio,1"
"O94-O99","O00-O9A,,,,,Otras afecciones obstétricas no clasificadas en otra parte,1"
